len_domain,max_len_labels_subdomain,character_entropy,number_numerical_characters,ratio_numerical_characters,max_len_cont_num_chars,max_len_cont_alpha_chars,max_len_cont_same_alpha_chars,ratio_vowels,max_length_continuous_consonants,number_distinct_A_records,ip_entropy_domain_name,number_distinct_NS_records,similarity_NS_domain_name,Class
13,10,3.4,0,0.0,0,10,1,0.2307692307692307,4,5,2.32,4,8.67,benign
9,6,2.6,0,0.0,0,6,2,0.4444444444444444,2,0,0.0,4,4.33,benign
7,5,2.2,0,0.0,0,5,1,0.7142857142857143,1,4,0.0,2,4.0,benign
9,6,2.7,0,0.0,0,6,1,0.4444444444444444,2,46,5.26,9,10.11,benign
15,12,3.2,0,0.0,0,12,1,0.2,4,1,0.0,6,2.6,benign
14,11,2.9,0,0.0,0,11,2,0.3571428571428571,3,0,0.0,6,2.87,benign
13,10,3.0,0,0.0,0,10,2,0.3076923076923077,3,21,3.43,6,11.87,benign
10,7,2.6,0,0.0,0,7,2,0.5,2,2,1.0,6,5.0,benign
9,6,2.9,0,0.0,0,6,1,0.3333333333333333,2,2,1.0,10,5.6,benign
9,6,2.9,0,0.0,0,6,1,0.3333333333333333,2,0,0.0,10,11.04,benign
10,7,3.1,0,0.0,0,7,2,0.4,2,1,0.0,2,4.0,benign
7,4,2.8,0,0.0,0,4,1,0.4285714285714285,1,53,0.14,18,9.99,benign
14,11,3.2,0,0.0,0,11,1,0.2857142857142857,4,0,0.0,4,8.67,benign
8,5,3.0,0,0.0,0,5,1,0.375,1,31,4.5,7,9.1,benign
12,9,3.1,0,0.0,0,9,1,0.4166666666666667,2,0,0.0,4,8.83,benign
11,8,3.1,0,0.0,0,8,1,0.2727272727272727,3,11,3.1,5,1.0,benign
11,8,3.1,0,0.0,0,8,1,0.3636363636363636,3,6,0.0,11,8.15,benign
13,10,2.8,0,0.0,0,10,1,0.3846153846153846,2,7,1.95,4,12.17,benign
15,12,3.6,0,0.0,0,12,1,0.3333333333333333,2,0,0.0,2,1.0,benign
10,7,2.6,0,0.0,0,7,2,0.5,1,0,0.0,7,11.1,benign
10,7,3.1,0,0.0,0,7,1,0.3,3,0,0.0,4,8.83,benign
6,3,2.6,0,0.0,0,3,1,0.1666666666666666,3,6,0.92,11,11.55,benign
8,5,3.0,0,0.0,0,5,1,0.25,3,0,0.0,4,8.5,benign
14,11,3.5,0,0.0,0,11,1,0.2857142857142857,5,0,0.0,5,1.0,benign
15,12,3.3,0,0.0,0,12,1,0.4,2,49,4.52,9,10.28,benign
10,7,3.1,0,0.0,0,7,1,0.4,2,0,0.0,11,11.53,benign
7,4,2.8,0,0.0,0,4,1,0.2857142857142857,2,63,5.16,4,9.0,benign
13,10,3.1,0,0.0,0,10,2,0.3076923076923077,4,3,1.58,6,9.4,benign
11,8,3.1,0,0.0,0,8,1,0.3636363636363636,2,0,0.0,2,1.0,benign
12,9,3.1,0,0.0,0,9,1,0.25,4,0,0.0,8,10.61,benign
9,6,2.9,0,0.0,0,6,1,0.5555555555555556,1,1,0.0,15,10.83,benign
10,7,3.1,0,0.0,0,7,1,0.3,2,3,0.92,5,1.0,benign
15,12,3.3,0,0.0,0,12,1,0.4666666666666667,2,0,0.0,17,14.5,benign
12,9,3.1,0,0.0,0,9,2,0.3333333333333333,3,0,0.0,8,5.43,benign
8,5,2.2,0,0.0,0,5,2,0.375,2,10,1.3,4,1.0,benign
11,8,3.3,0,0.0,0,8,1,0.3636363636363636,3,0,0.0,4,8.83,benign
9,6,2.9,0,0.0,0,6,2,0.2222222222222222,3,167,2.98,10,9.56,benign
8,5,3.0,0,0.0,0,5,1,0.375,2,35,3.47,4,9.33,benign
11,8,3.3,0,0.0,0,8,2,0.2727272727272727,4,1,0.0,10,5.6,benign
8,5,2.8,0,0.0,0,5,1,0.25,4,0,0.0,8,7.75,benign
13,10,3.1,0,0.0,0,10,1,0.3076923076923077,3,4,2.0,4,8.83,benign
7,5,2.5,0,0.0,0,5,1,0.2857142857142857,2,107,2.89,4,8.83,benign
9,6,2.7,0,0.0,0,6,1,0.3333333333333333,2,2,1.0,14,11.79,benign
14,11,3.2,0,0.0,0,11,1,0.4285714285714285,2,2,1.0,8,4.86,benign
10,7,3.1,0,0.0,0,7,1,0.2,4,0,0.0,12,12.64,benign
10,7,3.1,0,0.0,0,7,1,0.4,2,3,1.58,8,9.36,benign
9,6,2.9,0,0.0,0,6,1,0.3333333333333333,2,4,0.0,3,1.0,benign
15,12,2.9,0,0.0,0,12,2,0.3333333333333333,3,8,1.5,2,5.0,benign
8,5,2.5,0,0.0,0,5,2,0.125,5,1,0.0,4,4.33,benign
13,10,3.0,0,0.0,0,10,1,0.3076923076923077,3,0,0.0,5,1.4,benign
10,7,3.1,0,0.0,0,7,1,0.2,3,0,0.0,8,10.43,benign
10,8,2.7,0,0.0,0,8,1,0.6,3,14,3.52,6,5.67,benign
17,14,3.6,0,0.0,0,14,1,0.4705882352941176,2,0,0.0,8,15.71,benign
16,13,3.4,0,0.0,0,13,1,0.375,2,0,0.0,18,9.35,benign
6,3,2.6,0,0.0,0,3,1,0.3333333333333333,2,5,0.0,2,4.0,benign
18,15,3.5,0,0.0,0,15,2,0.3888888888888889,2,3,0.92,4,3.67,benign
14,11,3.4,0,0.0,0,11,2,0.2142857142857142,4,9,2.73,4,8.83,benign
10,8,2.9,0,0.0,0,8,1,0.4,2,2,1.0,7,8.57,benign
14,11,3.3,0,0.0,0,11,2,0.2857142857142857,3,1,0.0,2,2.0,benign
10,7,3.3,0,0.0,0,7,1,0.4,2,6,0.65,10,7.4,benign
8,5,2.8,0,0.0,0,5,1,0.375,2,2,0.0,8,10.93,benign
9,6,2.9,0,0.0,0,6,1,0.2222222222222222,4,32,2.4,28,13.08,benign
9,6,2.7,0,0.0,0,6,1,0.3333333333333333,3,1,0.0,18,10.36,benign
9,6,3.2,0,0.0,0,6,1,0.4444444444444444,1,10,0.0,7,1.86,benign
21,18,3.5,0,0.0,0,18,2,0.2857142857142857,4,6,2.58,4,8.33,benign
16,13,3.6,0,0.0,0,13,1,0.3125,3,3,1.58,3,1.0,benign
21,18,3.6,0,0.0,0,18,1,0.4285714285714285,3,4,1.0,2,4.0,benign
11,8,2.9,0,0.0,0,8,1,0.2727272727272727,5,0,0.0,4,3.5,benign
11,8,2.8,0,0.0,0,8,1,0.4545454545454545,1,1,0.0,4,8.0,benign
12,9,3.3,0,0.0,0,9,1,0.25,4,186,2.8,4,8.67,benign
10,7,2.9,0,0.0,0,7,1,0.4,2,6,2.58,4,1.17,benign
9,6,2.7,0,0.0,0,6,2,0.3333333333333333,3,5,0.72,9,14.03,benign
8,5,2.2,0,0.0,0,5,1,0.375,1,5,2.32,10,9.62,benign
14,11,3.2,0,0.0,0,11,2,0.2857142857142857,3,0,0.0,8,7.71,benign
12,9,2.9,0,0.0,0,9,2,0.3333333333333333,3,4,2.0,4,8.5,benign
13,10,3.4,0,0.0,0,10,1,0.3076923076923077,3,0,0.0,7,5.0,benign
13,10,3.0,0,0.0,0,10,2,0.3076923076923077,5,0,0.0,6,9.27,benign
10,7,2.6,0,0.0,0,7,2,0.4,2,0,0.0,2,4.0,benign
12,9,3.4,0,0.0,0,9,2,0.25,3,1,0.0,5,1.6,benign
11,8,3.1,0,0.0,0,8,1,0.2727272727272727,3,0,0.0,2,2.0,benign
9,6,2.4,0,0.0,0,6,2,0.4444444444444444,2,0,0.0,9,5.11,benign
7,4,2.2,0,0.0,0,4,1,0.4285714285714285,1,1,0.0,3,1.0,benign
10,7,3.1,0,0.0,0,7,1,0.3,2,20,3.78,6,1.0,benign
12,9,3.1,0,0.0,0,9,1,0.3333333333333333,2,0,0.0,4,7.83,benign
10,7,2.8,0,0.0,0,7,2,0.3,3,0,0.0,3,1.0,benign
13,10,3.4,0,0.0,0,10,2,0.3076923076923077,4,5,0.97,8,4.43,benign
11,8,3.1,0,0.0,0,8,1,0.4545454545454545,1,1,0.0,4,7.83,benign
9,6,2.7,0,0.0,0,6,1,0.3333333333333333,2,71,5.22,4,8.33,benign
8,5,3.0,0,0.0,0,5,1,0.375,2,8,0.54,4,8.83,benign
7,4,2.8,0,0.0,0,4,1,0.4285714285714285,1,1,0.0,4,1.0,benign
